id,metric,value,moe,state_id,dataset_id
1,COPD among adults >= 18,5.6,0.671428571428572,15,45
2,Cancer (excluding skin cancer) among adults >= 18,6.9,0.671428571428572,15,45
3,Coronary heart disease among adults >= 18,3.9,0.545535714285714,15,45
4,Stroke among adults >= 18,3.1,0.419642857142857,15,45
5,Diabetes among adults >= 18,8.7,0.797321428571428,15,45
6,Current asthma among adults >= 18,10.6,0.965178571428572,15,45
7,Mental health not good for >= 14 days among adults >= 18,15.2,1.13303571428571,15,45
8,COPD among adults >= 18,9.4,0.88125,14,45
9,Cancer (excluding skin cancer) among adults >= 18,9,0.839285714285714,14,45
10,Coronary heart disease among adults >= 18,6.5,0.713392857142857,14,45
11,Stroke among adults >= 18,5.3,0.755357142857143,14,45
12,Diabetes among adults >= 18,15.5,1.09107142857143,14,45
13,Current asthma among adults >= 18,9.6,0.965178571428572,14,45
14,Mental health not good for >= 14 days among adults >= 18,18.1,1.42678571428572,14,45
15,COPD among adults >= 18,9.8,0.839285714285714,9,45
16,Cancer (excluding skin cancer) among adults >= 18,9.1,0.713392857142857,9,45
17,Coronary heart disease among adults >= 18,6.5,0.5875,9,45
18,Stroke among adults >= 18,5.4,0.629464285714286,9,45
19,Diabetes among adults >= 18,15.7,1.00714285714286,9,45
20,Current asthma among adults >= 18,10.5,0.923214285714285,9,45
21,Mental health not good for >= 14 days among adults >= 18,20.4,1.30089285714286,9,45
22,COPD among adults >= 18,6.7,0.629464285714286,16,45
23,Cancer (excluding skin cancer) among adults >= 18,9.4,0.671428571428571,16,45
24,Coronary heart disease among adults >= 18,4.4,0.461607142857143,16,45
25,Stroke among adults >= 18,3.8,0.503571428571429,16,45
26,Diabetes among adults >= 18,12.7,0.881250000000001,16,45
27,Current asthma among adults >= 18,9.7,0.797321428571428,16,45
28,Mental health not good for >= 14 days among adults >= 18,16.8,1.09107142857143,16,45
29,COPD among adults >= 18,4.7,0.503571428571429,17,45
30,Cancer (excluding skin cancer) among adults >= 18,7.5,0.5875,17,45
31,Coronary heart disease among adults >= 18,3,0.377678571428571,17,45
32,Stroke among adults >= 18,2.9,0.419642857142857,17,45
33,Diabetes among adults >= 18,11.5,0.755357142857143,17,45
34,Current asthma among adults >= 18,8.7,0.629464285714286,17,45
35,Mental health not good for >= 14 days among adults >= 18,14.3,0.797321428571429,17,45
36,COPD among adults >= 18,5.3,0.545535714285715,18,45
37,Cancer (excluding skin cancer) among adults >= 18,7.8,0.503571428571429,18,45
38,Coronary heart disease among adults >= 18,2.8,0.335714285714286,18,45
39,Stroke among adults >= 18,2.5,0.29375,18,45
40,Diabetes among adults >= 18,8.1,0.629464285714286,18,45
41,Current asthma among adults >= 18,10.8,0.713392857142857,18,45
42,Mental health not good for >= 14 days among adults >= 18,15.9,0.797321428571429,18,45
43,COPD among adults >= 18,5.8,0.629464285714286,2,45
44,Cancer (excluding skin cancer) among adults >= 18,8.6,0.713392857142857,2,45
45,Coronary heart disease among adults >= 18,4.3,0.5875,2,45
46,Stroke among adults >= 18,2.8,0.545535714285714,2,45
47,Diabetes among adults >= 18,10.7,0.839285714285714,2,45
48,Current asthma among adults >= 18,12.4,0.839285714285714,2,45
49,Mental health not good for >= 14 days among adults >= 18,14.5,0.965178571428571,2,45
50,COPD among adults >= 18,3.8,0.629464285714286,55,45
51,Cancer (excluding skin cancer) among adults >= 18,6.2,0.755357142857143,55,45
52,Coronary heart disease among adults >= 18,2.4,0.503571428571429,55,45
53,Stroke among adults >= 18,2.6,0.503571428571429,55,45
54,Diabetes among adults >= 18,8,1.00714285714286,55,45
55,Current asthma among adults >= 18,11.1,1.25892857142857,55,45
56,Mental health not good for >= 14 days among adults >= 18,13.5,1.42678571428571,55,45
57,COPD among adults >= 18,7,0.839285714285714,19,45
58,Cancer (excluding skin cancer) among adults >= 18,8.7,0.88125,19,45
59,Coronary heart disease among adults >= 18,4.5,0.671428571428571,19,45
60,Stroke among adults >= 18,3.8,0.545535714285714,19,45
61,Diabetes among adults >= 18,13.9,1.21696428571429,19,45
62,Current asthma among adults >= 18,9.9,1.04910714285714,19,45
63,Mental health not good for >= 14 days among adults >= 18,14.4,1.42678571428572,19,45
64,COPD among adults >= 18,7.4,0.629464285714286,20,45
65,Cancer (excluding skin cancer) among adults >= 18,9.6,0.671428571428571,20,45
66,Coronary heart disease among adults >= 18,5,0.503571428571428,20,45
67,Stroke among adults >= 18,3.6,0.461607142857143,20,45
68,Diabetes among adults >= 18,12.2,0.965178571428572,20,45
69,Current asthma among adults >= 18,9.3,0.839285714285714,20,45
70,Mental health not good for >= 14 days among adults >= 18,15,1.00714285714286,20,45
71,COPD among adults >= 18,7.1,0.5875,13,45
