id,metric,value,moe,state_id,dataset_id
1,COPD among adults >= 18,5.6,0.671428571,15,14
2,Cancer (excluding skin cancer) among adults >= 18,6.9,0.671428571,15,14
3,Coronary heart disease among adults >= 18,3.9,0.545535714,15,14
4,Stroke among adults >= 18,3.1,0.419642857,15,14
5,Diabetes among adults >= 18,8.7,0.797321429,15,14
6,Current asthma among adults >= 18,10.6,0.965178571,15,14
7,Mental health not good for >= 14 days among adults >= 18,15.2,1.133035714,15,14
8,COPD among adults >= 18,9.4,0.88125,14,14
9,Cancer (excluding skin cancer) among adults >= 18,9,0.839285714,14,14
10,Coronary heart disease among adults >= 18,6.5,0.713392857,14,14
11,Stroke among adults >= 18,5.3,0.755357143,14,14
12,Diabetes among adults >= 18,15.5,1.091071429,14,14
13,Current asthma among adults >= 18,9.6,0.965178571,14,14
14,Mental health not good for >= 14 days among adults >= 18,18.1,1.426785714,14,14
15,COPD among adults >= 18,9.8,0.839285714,9,14
16,Cancer (excluding skin cancer) among adults >= 18,9.1,0.713392857,9,14
17,Coronary heart disease among adults >= 18,6.5,0.5875,9,14
18,Stroke among adults >= 18,5.4,0.629464286,9,14
19,Diabetes among adults >= 18,15.7,1.007142857,9,14
20,Current asthma among adults >= 18,10.5,0.923214286,9,14
21,Mental health not good for >= 14 days among adults >= 18,20.4,1.300892857,9,14
22,COPD among adults >= 18,6.7,0.629464286,16,14
23,Cancer (excluding skin cancer) among adults >= 18,9.4,0.671428571,16,14
24,Coronary heart disease among adults >= 18,4.4,0.461607143,16,14
25,Stroke among adults >= 18,3.8,0.503571429,16,14
26,Diabetes among adults >= 18,12.7,0.88125,16,14
27,Current asthma among adults >= 18,9.7,0.797321429,16,14
28,Mental health not good for >= 14 days among adults >= 18,16.8,1.091071429,16,14
29,COPD among adults >= 18,4.7,0.503571429,17,14
30,Cancer (excluding skin cancer) among adults >= 18,7.5,0.5875,17,14
31,Coronary heart disease among adults >= 18,3,0.377678571,17,14
32,Stroke among adults >= 18,2.9,0.419642857,17,14
33,Diabetes among adults >= 18,11.5,0.755357143,17,14
34,Current asthma among adults >= 18,8.7,0.629464286,17,14
35,Mental health not good for >= 14 days among adults >= 18,14.3,0.797321429,17,14
36,COPD among adults >= 18,5.3,0.545535714,18,14
37,Cancer (excluding skin cancer) among adults >= 18,7.8,0.503571429,18,14
38,Coronary heart disease among adults >= 18,2.8,0.335714286,18,14
39,Stroke among adults >= 18,2.5,0.29375,18,14
40,Diabetes among adults >= 18,8.1,0.629464286,18,14
41,Current asthma among adults >= 18,10.8,0.713392857,18,14
42,Mental health not good for >= 14 days among adults >= 18,15.9,0.797321429,18,14
43,COPD among adults >= 18,5.8,0.629464286,2,14
44,Cancer (excluding skin cancer) among adults >= 18,8.6,0.713392857,2,14
45,Coronary heart disease among adults >= 18,4.3,0.5875,2,14
46,Stroke among adults >= 18,2.8,0.545535714,2,14
47,Diabetes among adults >= 18,10.7,0.839285714,2,14
48,Current asthma among adults >= 18,12.4,0.839285714,2,14
49,Mental health not good for >= 14 days among adults >= 18,14.5,0.965178571,2,14
50,COPD among adults >= 18,3.8,0.629464286,55,14
51,Cancer (excluding skin cancer) among adults >= 18,6.2,0.755357143,55,14
52,Coronary heart disease among adults >= 18,2.4,0.503571429,55,14
53,Stroke among adults >= 18,2.6,0.503571429,55,14
54,Diabetes among adults >= 18,8,1.007142857,55,14
55,Current asthma among adults >= 18,11.1,1.258928571,55,14
56,Mental health not good for >= 14 days among adults >= 18,13.5,1.426785714,55,14
57,COPD among adults >= 18,7,0.839285714,19,14
58,Cancer (excluding skin cancer) among adults >= 18,8.7,0.88125,19,14
59,Coronary heart disease among adults >= 18,4.5,0.671428571,19,14
60,Stroke among adults >= 18,3.8,0.545535714,19,14
61,Diabetes among adults >= 18,13.9,1.216964286,19,14
62,Current asthma among adults >= 18,9.9,1.049107143,19,14
63,Mental health not good for >= 14 days among adults >= 18,14.4,1.426785714,19,14
64,COPD among adults >= 18,7.4,0.629464286,20,14
65,Cancer (excluding skin cancer) among adults >= 18,9.6,0.671428571,20,14
66,Coronary heart disease among adults >= 18,5,0.503571429,20,14
67,Stroke among adults >= 18,3.6,0.461607143,20,14
68,Diabetes among adults >= 18,12.2,0.965178571,20,14
69,Current asthma among adults >= 18,9.3,0.839285714,20,14
70,Mental health not good for >= 14 days among adults >= 18,15,1.007142857,20,14
71,COPD among adults >= 18,7.1,0.5875,13,14
72,Cancer (excluding skin cancer) among adults >= 18,7.6,0.545535714,13,14
73,Coronary heart disease among adults >= 18,4.1,0.419642857,13,14
74,Stroke among adults >= 18,4,0.461607143,13,14
