State FIPS Code,County FIPS Code,5-digit FIPS Code,raw_value,CI_low,CI_high,
0,0,0,48.065659838,47.814585694,48.316733982,
1,0,1000,66.775176328,64.349820691,69.200531966,
1,1,1001,51.496252217,33.936354698,74.924343318,
1,3,1003,51.169783452,41.495247316,62.422796367,
1,5,1005,82.704937971,48.178674141,132.41861745,
1,7,1007,82.232333754,46.024812964,135.62972903,
1,9,1009,71.173044146,50.366282042,97.690563802,
1,11,1011,,,,
1,13,1013,80.178683924,43.8344326,134.52620767,
1,15,1015,57.897409853,43.850932822,75.012809957,
1,17,1017,86.399308806,55.357667416,128.55532289,
1,19,1019,65.343051018,34.792422674,111.73860728,
1,21,1021,45.072828201,27.136786934,70.386804506,
1,23,1023,,,,
1,25,1025,107.56894191,67.412883201,162.86067078,
1,27,1027,,,,
1,29,1029,80.811049074,40.340584537,144.59328911,
1,31,1031,48.527003255,31.092166639,72.204334258,
1,33,1033,58.725014681,38.700154712,85.441813179,
1,35,1035,,,,
1,37,1037,156.73981191,78.243949376,280.45081951,
1,39,1039,80.155378118,52.360154193,117.44620058,
1,41,1041,,,,
1,43,1043,48.023691688,33.635203257,66.485031935,
1,45,1045,62.248504924,41.363679455,89.966421252,
1,47,1047,47.587056321,27.721213945,76.191487,
1,49,1049,60.849282123,43.854810328,82.250552393,
1,51,1051,60.588534997,44.023722282,81.337280236,
1,53,1053,82.184275409,54.159955352,119.57380588,
1,55,1055,64.882585286,49.141436481,84.062914939,
1,57,1057,,,,
1,59,1059,61.290322581,36.90077795,95.712430876,
1,61,1061,73.583517292,42.86511046,117.81433933,
1,63,1063,,,,
1,65,1065,102.75229358,56.175635055,172.40088897,
1,67,1067,77.898165852,38.886483728,139.3813364,
1,69,1069,83.585293116,66.378787904,103.88888747,
1,71,1071,51.098620337,32.023233317,77.363925273,
1,73,1073,84.198662158,76.85495123,91.542373086,
1,75,1075,,,,
1,77,1077,43.972956632,30.077469784,62.076694442,
1,79,1079,66.830812522,40.236514824,104.36459223,
1,81,1081,64.778959794,52.089933444,79.624339463,
1,83,1083,46.663024674,33.486192147,63.303661984,
1,85,1085,125.34184139,62.570195616,224.27117723,
1,87,1087,,,,
1,89,1089,54.644978406,46.571698758,62.718258054,
1,91,1091,87.494167056,48.96982112,144.30832286,
1,93,1093,80.896331351,49.413580817,124.93782269,
1,95,1095,51.824212272,38.464929247,68.323763126,
1,97,1097,68.556763707,60.302403013,76.8111244,
1,99,1099,72.964023124,38.850269355,124.77070168,
1,101,1101,81.69433098,69.520565241,93.86809672,
1,103,1103,59.634121727,46.024356162,76.008583475,
1,105,1105,,,,
1,107,1107,76.859027733,39.714181187,134.25725388,
1,109,1109,59.23234876,33.151895959,97.694751506,
1,111,1111,87.850757067,51.176303393,140.6575723,
1,113,1113,76.921700864,55.668616325,103.61302626,
1,115,1115,53.268585162,38.550739209,71.752434635,
1,117,1117,42.938154252,34.391701356,52.964054636,
1,119,1119,,,,
1,121,1121,87.626798948,66.705579345,113.03218631,
1,123,1123,60.016804705,36.659823507,92.691087212,
1,125,1125,76.313271675,63.392045008,89.234498342,
1,127,1127,90.366249092,67.283607985,118.81492882,
1,129,1129,84.074826596,43.442689755,146.86180234,
1,131,1131,,,,
1,133,1133,73.000312858,39.90995034,122.48212077,
2,0,2000,64.883470936,59.029923442,70.737018429,
2,13,2013,,,,
2,16,2016,,,,
2,20,2020,56.580609576,47.785826516,65.375392636,
2,50,2050,141.93647384,99.936376274,195.64073248,
2,60,2060,,,,
2,68,2068,,,,
2,70,2070,193.73587343,100.10615287,338.41758231,
2,90,2090,61.000406669,46.201112308,79.033102248,
2,100,2100,,,,
2,105,2105,,,,
2,110,2110,36.892200989,17.69124436,67.846071136,
2,122,2122,60.417256679,41.325358843,85.291139582,
2,130,2130,,,,
2,150,2150,,,,
2,158,2158,212.25206763,142.14854086,304.8293745,
2,164,2164,,,,
2,170,2170,39.040133257,28.47614109,52.238769886,
2,180,2180,159.79081929,100.14005573,241.92522071,
2,185,2185,115.49566891,59.678297485,201.74769055,
2,188,2188,182.13277479,111.25143052,281.28929881,
2,195,2195,,,,
2,198,2198,,,,
2,220,2220,,,,
2,230,2230,,,,
2,240,2240,,,,
2,261,2261,,,,
2,275,2275,,,,
2,282,2282,,,,
2,290,2290,,,,
4,0,4000,49.597687331,47.893795576,51.301579085,
4,1,4001,65.572927381,48.823351469,86.216289571,
4,3,4003,51.70630817,39.058389517,67.144942022,
4,5,4005,56.882331141,43.992790784,72.368272107,
4,7,4007,98.066685346,70.677840974,132.5576697,
4,9,4009,65.41014584,43.10569827,95.168328032,
4,11,4011,,,,
4,12,4012,93.62621534,49.8520165,160.10367964,
4,13,4013,46.982341104,44.911306333,49.053375874,
4,15,4015,57.411711989,45.66123832,71.263072462,
4,17,4017,89.91573611,72.716976518,107.1144957,
4,19,4019,48.629910174,43.979032751,53.280787596,
4,21,4021,46.152864178,39.55541878,52.750309576,
4,23,4023,44.213107177,27.708118877,66.939175601,
4,25,4025,58.517252615,46.932547742,72.094891871,
4,27,4027,51.938329083,42.275983737,61.600674429,
5,0,5000,67.044341483,64.016082314,70.072600651,
5,1,5001,61.770337884,29.621278004,113.59785065,
5,3,5003,61.15187903,30.526797683,109.41760348,
5,5,5005,,,,
5,7,5007,53.561863953,45.129566767,61.994161139,
5,9,5009,49.979420239,29.114854088,80.021893385,
5,11,5011,124.93993272,66.525252196,213.65109004,
5,13,5013,,,,
5,15,5015,81.940347427,50.051292959,126.55022084,
5,17,5017,110.16855789,52.830105719,202.60390043,
5,19,5019,,,,
5,21,5021,103.33863275,55.023469722,176.71220921,
5,23,5023,100.89209856,60.74363405,157.55550962,
5,25,5025,,,,
5,27,5027,72.020165646,39.374094739,120.8376003,
5,29,5029,79.360880377,44.417682307,130.89370336,
5,31,5031,68.605927552,53.962914107,85.998124267,
5,33,5033,50.24962718,34.142183718,71.325334733,
5,35,5035,109.10343772,82.633878269,141.35615842,
5,37,5037,83.995606384,44.724122834,143.63504502,
5,39,5039,,,,
5,41,5041,,,,
5,43,5043,120.2912314,72.423179262,187.84965857,
5,45,5045,63.42421241,49.714458047,79.746424945,
5,47,5047,74.289605646,38.3865233,129.76899058,
5,49,5049,,,,
5,51,5051,65.449968534,48.881167024,85.828926043,
5,53,5053,73.882526782,38.176179711,129.05790573,
5,55,5055,52.114016405,33.035816008,78.196612351,
5,57,5057,45.150803684,21.651565361,83.033935534,
5,59,5059,86.645727283,55.515552383,128.92197406,
5,61,5061,115.35688536,65.936427207,187.3323547,
5,63,5063,62.955055565,39.908104881,94.463493991,
5,65,5065,142.03104393,77.649693378,238.30395782,
5,67,5067,80.959740929,40.414810975,144.85933991,
5,69,5069,74.523220758,54.148686288,100.04394546,
5,71,5071,57.212602029,32.021459046,94.363486427,
5,73,5073,,,,
5,75,5075,69.051236017,33.112751665,126.98768155,
5,77,5077,,,,
5,79,5079,,,,
5,81,5081,91.717875814,43.982286491,168.67243916,
5,83,5083,75.345783327,41.192240871,126.41742168,
5,85,5085,71.903170397,54.015874586,93.818040231,
5,87,5087,136.47884578,84.4825566,208.6224133,
5,89,5089,,,,
5,91,5091,70.745511319,47.379379239,101.60235519,
5,93,5093,102.62630032,74.568426921,137.77101805,
5,95,5095,,,,
5,97,5097,,,,
5,99,5099,,,,
5,101,5101,,,,
5,103,5103,104.702075,65.616232973,158.52019982,
5,105,5105,,,,
5,107,5107,107.91560999,65.917658153,166.66690715,
5,109,5109,,,,
5,111,5111,70.537406869,40.318222694,114.54832958,
5,113,5113,77.194530216,42.202967999,129.51930482,
5,115,5115,48.252567726,32.06348083,69.73839516,
5,117,5117,,,,
5,119,5119,72.53046142,63.781136435,81.279786405,
5,121,5121,88.365243004,49.457355716,145.74503017,
5,123,5123,112.02912757,71.779175908,166.69046162,
5,125,5125,46.875690974,35.113109214,61.314557935,
5,127,5127,,,,
5,129,5129,,,,
5,131,5131,60.473820556,47.48495611,75.919343861,
5,133,5133,67.322630761,35.846465515,115.12374893,
5,135,5135,,,,
5,137,5137,,,,
5,139,5139,93.688098935,65.257193647,130.29746606,
5,141,5141,,,,
5,143,5143,55.49606108,45.881859006,65.110263155,
5,145,5145,57.541340713,41.470737122,77.779176581,
5,147,5147,,,,
5,149,5149,62.195005263,33.116220893,106.35535316,
6,0,6000,35.101891467,34.487608366,35.716174568,
6,1,6001,31.271953682,28.302296713,34.241610651,
