State,Overall Homeless,Total Population
Alabama,3304,5108468
Alaska,2614,733406
Arizona,14237,7431344
Arkansas,2609,3067732
California,181399,38965193
Colorado,14439,5877610
Connecticut,3015,3617176
Delaware,1245,1031890
District of Columbia,4922,678972
Florida,30756,22610726
Georgia,12294,11029227
Hawaii,6223,1435138
Idaho,2298,1964726
Illinois,11947,12549689
Indiana,6017,6862199
Iowa,2653,3207004
Kansas,2636,2940546
Kentucky,4766,4526154
Louisiana,3169,4573749
Maine,4258,1395722
Maryland,5865,6180253
Massachusetts,19141,7001399
Michigan,8997,10037261
Minnesota,8393,5737915
Mississippi,982,2939690
Missouri,6708,6196156
Montana,2178,1132812
Nebraska,2462,1978379
Nevada,8666,3194176
New Hampshire,2441,1402054
New Jersey,10264,9290841
New Mexico,3842,2114371
New York,103200,19571216
North Carolina,9754,10835491
North Dakota,784,783926
Ohio,11386,11785935
Oklahoma,4648,4053824
Oregon,20142,4233358
Pennsylvania,12556,12961683
Rhode Island,1810,1095962
South Carolina,4053,5373555
South Dakota,1282,919318
Tennessee,9215,7126489
Texas,27377,30503301
Utah,3687,3417734
Vermont,3295,647464
Virginia,6761,8715698
Washington,28036,7812880
West Virginia,1416,1770071
Wisconsin,4861,5910955
Wyoming,532,584057
