fullname,Level of Maternity Care,fipscode
Aleutians East,Maternity Care Desert,2013
Aleutians West,Maternity Care Desert,2016
Anchorage,Access to Maternity Care,2020
Bethel,Low Access to Care,2050
Bristol Bay,Maternity Care Desert,2060
Denali,Maternity Care Desert,2068
Dillingham,Access to Maternity Care,2070
Fairbanks North Star,Access to Maternity Care,2090
Haines,Maternity Care Desert,2100
Hoonah-Angoon,Maternity Care Desert,2105
Juneau,Access to Maternity Care,2110
Kenai Peninsula,Access to Maternity Care,2122
Kodiak Island,Access to Maternity Care,2150
Lake and Peninsula,Maternity Care Desert,2164
Matanuska-Susitna,Access to Maternity Care,2170
Nome,Maternity Care Desert,2180
North Slope,Maternity Care Desert,2185
Northwest Arctic,Access to Maternity Care,2188
Petersburg,Maternity Care Desert,2195
Prince of Wales-Hyder,Maternity Care Desert,2198
Sitka,Access to Maternity Care,2220
Southeast Fairbanks,Maternity Care Desert,2240
Valdez-Cordova,Maternity Care Desert,2261
Wade Hampton,Maternity Care Desert,2270
Wrangell,Maternity Care Desert,2275
Yakutat,Maternity Care Desert,2282
Yukon-Koyukuk,Maternity Care Desert,2290
Autauga,Low Access to Care,1001
Baldwin,Access to Maternity Care,1003
Barbour,Maternity Care Desert,1005
Bibb,Low Access to Care,1007
Blount,Low Access to Care,1009
Bullock,Maternity Care Desert,1011
Butler,Low Access to Care,1013
Calhoun,Access to Maternity Care,1015
Chambers,Low Access to Care,1017
Cherokee,Low Access to Care,1019
Chilton,Low Access to Care,1021
Choctaw,Maternity Care Desert,1023
Clarke,Low Access to Care,1025
Clay,Maternity Care Desert,1027
Cleburne,Maternity Care Desert,1029
Coffee,Low Access to Care,1031
Colbert,Low Access to Care,1033
Conecuh,Maternity Care Desert,1035
Coosa,Access to Maternity Care,1037
Covington,Low Access to Care,1039
Crenshaw,Maternity Care Desert,1041
Cullman,Low Access to Care,1043
Dale,Access to Maternity Care,1045
Dallas,Access to Maternity Care,1047
De Kalb,Access to Maternity Care,1049
Elmore,Maternity Care Desert,1051
Escambia,Low Access to Care,1053
Etowah,Low Access to Care,1055
Fayette,Access to Maternity Care,1057
Franklin,Maternity Care Desert,1059
Geneva,Low Access to Care,1061
Greene,Maternity Care Desert,1063
Hale,Maternity Care Desert,1065
Henry,Maternity Care Desert,1067
Houston,Access to Maternity Care,1069
Jackson,Access to Maternity Care,1071
Jefferson,Access to Maternity Care,1073
Lamar,Maternity Care Desert,1075
Lauderdale,Access to Maternity Care,1077
Lawrence,Maternity Care Desert,1079
Lee,Access to Maternity Care,1081
Limestone,Low Access to Care,1083
Lowndes,Maternity Care Desert,1085
Macon,Low Access to Care,1087
Madison,Access to Maternity Care,1089
Marengo,Maternity Care Desert,1091
Marion,Maternity Care Desert,1093
Marshall,Access to Maternity Care,1095
Mobile,Access to Maternity Care,1097
Monroe,Maternity Care Desert,1099
Montgomery,Access to Maternity Care,1101
Morgan,Access to Maternity Care,1103
Perry,Maternity Care Desert,1105
Pickens,Maternity Care Desert,1107
Pike,Low Access to Care,1109
Randolph,Maternity Care Desert,1111
Russell,Low Access to Care,1113
St Clair,Low Access to Care,1115
Shelby,Access to Maternity Care,1117
Sumter,Maternity Care Desert,1119
Talladega,Low Access to Care,1121
Tallapoosa,Access to Maternity Care,1123
Tuscaloosa,Access to Maternity Care,1125
Walker,Access to Maternity Care,1127
Washington,Maternity Care Desert,1129
Wilcox,Maternity Care Desert,1131
Winston,Maternity Care Desert,1133
Arkansas,Low Access to Care,5001
Ashley,Access to Maternity Care,5003
Baxter,Access to Maternity Care,5005
Benton,Access to Maternity Care,5007
Boone,Low Access to Care,5009
Bradley,Access to Maternity Care,5011
Calhoun,Maternity Care Desert,5013
Carroll,Low Access to Care,5015
Chicot,Maternity Care Desert,5017
Clark,Access to Maternity Care,5019
Clay,Maternity Care Desert,5021
Cleburne,Access to Maternity Care,5023
Cleveland,Maternity Care Desert,5025
Columbia,Access to Maternity Care,5027
Conway,Maternity Care Desert,5029
Craighead,Access to Maternity Care,5031
Crawford,Low Access to Care,5033
Crittenden,Maternity Care Desert,5035
Cross,Maternity Care Desert,5037
Dallas,Maternity Care Desert,5039
Desha,Maternity Care Desert,5041
Drew,Moderate Access to Care,5043
Faulkner,Access to Maternity Care,5045
Franklin,Low Access to Care,5047
Fulton,Maternity Care Desert,5049
Garland,Access to Maternity Care,5051
Grant,Maternity Care Desert,5053
Greene,Moderate Access to Care,5055
Hempstead,Low Access to Care,5057
Hot Spring,Maternity Care Desert,5059
Howard,Maternity Care Desert,5061
Independence,Access to Maternity Care,5063
Izard,Maternity Care Desert,5065
Jackson,Access to Maternity Care,5067
Jefferson,Access to Maternity Care,5069
Johnson,Low Access to Care,5071
Lafayette,Maternity Care Desert,5073
Lawrence,Maternity Care Desert,5075
Lee,Maternity Care Desert,5077
Lincoln,Maternity Care Desert,5079
Little River,Maternity Care Desert,5081
Logan,Maternity Care Desert,5083
Lonoke,Moderate Access to Care,5085
Madison,Maternity Care Desert,5087
Marion,Maternity Care Desert,5089
Miller,Low Access to Care,5091
Mississippi,Low Access to Care,5093
Monroe,Access to Maternity Care,5095
Montgomery,Maternity Care Desert,5097
Nevada,Maternity Care Desert,5099
Newton,Access to Maternity Care,5101
Ouachita,Moderate Access to Care,5103
Perry,Maternity Care Desert,5105
Phillips,Moderate Access to Care,5107
Pike,Maternity Care Desert,5109
Poinsett,Maternity Care Desert,5111
Polk,Access to Maternity Care,5113
Pope,Access to Maternity Care,5115
Prairie,Maternity Care Desert,5117
Pulaski,Access to Maternity Care,5119
Randolph,Maternity Care Desert,5121
St Francis,Access to Maternity Care,5123
Saline,Access to Maternity Care,5125
Scott,Maternity Care Desert,5127
Searcy,Access to Maternity Care,5129
Sebastian,Access to Maternity Care,5131
Sevier,Maternity Care Desert,5133
Sharp,Low Access to Care,5135
Stone,Maternity Care Desert,5137
Union,Moderate Access to Care,5139
Van Buren,Maternity Care Desert,5141
Washington,Access to Maternity Care,5143
White,Access to Maternity Care,5145
Woodruff,Maternity Care Desert,5147
Yell,Maternity Care Desert,5149
Apache,Access to Maternity Care,4001
Cochise,Low Access to Care,4003
Coconino,Access to Maternity Care,4005
Gila,Access to Maternity Care,4007
Graham,Low Access to Care,4009
Greenlee,Maternity Care Desert,4011
La Paz,Maternity Care Desert,4012
Maricopa,Access to Maternity Care,4013
Mohave,Access to Maternity Care,4015
Navajo,Access to Maternity Care,4017
Pima,Access to Maternity Care,4019
Pinal,Access to Maternity Care,4021
Santa Cruz,Access to Maternity Care,4023
Yavapai,Access to Maternity Care,4025
Yuma,Access to Maternity Care,4027
Alameda,Access to Maternity Care,6001
Alpine,Maternity Care Desert,6003
Amador,Access to Maternity Care,6005
Butte,Access to Maternity Care,6007
Calaveras,Moderate Access to Care,6009
Colusa,Maternity Care Desert,6011
Contra Costa,Access to Maternity Care,6013
Del Norte,Access to Maternity Care,6015
El Dorado,Access to Maternity Care,6017
Fresno county,Access to Maternity Care,6019
Glenn,Maternity Care Desert,6021
Humboldt,Access to Maternity Care,6023
Imperial,Low Access to Care,6025
Inyo,Access to Maternity Care,6027
Kern,Access to Maternity Care,6029
Kings,Access to Maternity Care,6031
Lake,Moderate Access to Care,6033
Lassen,Access to Maternity Care,6035
Los Angeles county,Access to Maternity Care,6037
Madera,Low Access to Care,6039
Marin,Access to Maternity Care,6041
Mariposa,Access to Maternity Care,6043
Mendocino,Access to Maternity Care,6045
Merced,Access to Maternity Care,6047
Modoc,Maternity Care Desert,6049
Mono,Access to Maternity Care,6051
Monterey,Access to Maternity Care,6053
Napa,Access to Maternity Care,6055
Nevada,Access to Maternity Care,6057
Orange,Access to Maternity Care,6059
Placer,Access to Maternity Care,6061
Plumas,Access to Maternity Care,6063
Riverside,Access to Maternity Care,6065
Sacramento county,Access to Maternity Care,6067
San Benito,Moderate Access to Care,6069
San Bernardino,Access to Maternity Care,6071
San Diego county,Access to Maternity Care,6073
San Francisco,Access to Maternity Care,6075
San Joaquin,Access to Maternity Care,6077
San Luis Obispo,Access to Maternity Care,6079
San Mateo,Access to Maternity Care,6081
